Date,ABBIGERE,AGARA,AKSHAYANAGARA,ALLALASANDRA
22-03-2011,2589,707,2876,2379
23-03-2011,2583,704,2858,2362
24-03-2011,2577,701,2840,2346
25-03-2011,2571,698,2823,2329
26-03-2011,2565,695,2805,2312
27-03-2011,2559,692,2788,2295
28-03-2011,2553,689,2770,2278
29-03-2011,2547,686,2753,2261
30-03-2011,2542,683,2736,2244
31-03-2011,2536,680,2720,2227
01-04-2011,2530,678,2705,2210
02-04-2011,2524,676,2688,2193
03-04-2011,2518,674,2669,2176
04-04-2011,2513,672,2653,2159
05-04-2011,2507,670,2636,2143
06-04-2011,2501,668,2620,2126
07-04-2011,2495,666,2605,2109
08-04-2011,2489,664,2589,2092
09-04-2011,2484,662,2575,2075
10-04-2011,2478,660,2559,2058
11-04-2011,2472,658,2544,2041
12-04-2011,2467,656,2528,2024
13-04-2011,2461,654,2511,2007
14-04-2011,2455,651,2493,1990
15-04-2011,2449,648,2475,1973
16-04-2011,2444,645,2459,1956
17-04-2011,2438,642,2442,1939
18-04-2011,2432,639,2424,1922
19-04-2011,2424,636,2407,1905
20-04-2011,2418,633,2390,1888
21-04-2011,2410,630,2375,1871
22-04-2011,2404,628,2363,1856
23-04-2011,2412,633,2371,1844
24-04-2011,2415,633,2365,1826
25-04-2011,2415,631,2349,1811
26-04-2011,2410,631,2339,1796
27-04-2011,2404,630,2324,1781
28-04-2011,2398,629,2309,1766
29-04-2011,2393,627,2292,1751
30-04-2011,2387,625,2276,1735
01-05-2011,2381,624,2263,1719
02-05-2011,2373,622,2248,1704
03-05-2011,2354,619,2234,1689
04-05-2011,2331,617,2218,1689
05-05-2011,2309,614,2205,1693
06-05-2011,2285,611,2193,1697
07-05-2011,2260,608,2180,1701
08-05-2011,2236,605,2167,1705
09-05-2011,2211,602,2152,1709
10-05-2011,2187,599,2136,1713
11-05-2011,2163,596,2118,1717
12-05-2011,2140,577,2118,1721
13-05-2011,2116,558,2118,1725
14-05-2011,2093,539,2118,1729
15-05-2011,2069,519,2118,1733
16-05-2011,2046,499,2118,1737
17-05-2011,2023,478,2120,1741
18-05-2011,2000,460,2120,1745
19-05-2011,1978,441,2122,1749
20-05-2011,1953,424,2124,1753
21-05-2011,1936,411,2131,1784
22-05-2011,1916,393,2143,1800
23-05-2011,1894,376,2155,1802
24-05-2011,1872,357,2167,1806
25-05-2011,1850,338,2178,1808
26-05-2011,1826,324,2189,1810
27-05-2011,1805,305,2201,1812
28-05-2011,1784,286,2203,1814
29-05-2011,1763,267,2205,1816
30-05-2011,1742,250,2207,1818
31-05-2011,1721,233,2207,1820
01-06-2011,1700,218,2207,1822
02-06-2011,1703,207,2207,1850
03-06-2011,1680,207,2207,1871
04-06-2011,1657,191,2203,1879
05-06-2011,1635,179,2193,1881
06-06-2011,1613,169,2185,1883
07-06-2011,1604,162,2198,1893
08-06-2011,1591,152,2192,1891
09-06-2011,1578,142,2184,1887
10-06-2011,1565,137,2171,1883
11-06-2011,1552,131,2160,1877
12-06-2011,1539,125,2150,1871
13-06-2011,1525,120,2139,1865
14-06-2011,1510,115,2125,1861
15-06-2011,1495,110,2121,1871
16-06-2011,1481,105,2110,1867
17-06-2011,1467,100,2097,1859
18-06-2011,1452,98,2080,1852
19-06-2011,1438,96,2068,1844
20-06-2011,1424,94,2052,1837
21-06-2011,1410,93,2033,1830
22-06-2011,1387,92,2016,1822
23-06-2011,1338,91,1999,1832
24-06-2011,1301,90,1982,1859
25-06-2011,1266,90,1965,1885
26-06-2011,1236,90,1950,1908
27-06-2011,1211,90,1935,1928
28-06-2011,1189,90,1923,1939
29-06-2011,1182,90,1909,1958
30-06-2011,1180,90,1896,1971
01-07-2011,1180,90,1883,1983
02-07-2011,1202,90,1870,2000
03-07-2011,1220,90,1860,2050
04-07-2011,1230,90,1846,2069
05-07-2011,1243,90,1833,2093
06-07-2011,1259,90,1820,2112
07-07-2011,1286,90,1820,2154
08-07-2011,1308,90,1808,2176
09-07-2011,1329,90,1794,2196
10-07-2011,1348,92,1782,2214
11-07-2011,1369,95,1768,2231
12-07-2011,1392,97,1753,2254
13-07-2011,1412,98,1749,2261
14-07-2011,1430,100,1749,2264
15-07-2011,1450,101,1749,2264
16-07-2011,1475,101,1748,2264
17-07-2011,1500,101,1745,2266
18-07-2011,1523,100,1741,2268
19-07-2011,1544,99,1737,2270
20-07-2011,1567,98,1733,2284
21-07-2011,1587,97,1730,2294
22-07-2011,1604,96,1727,2300
23-07-2011,1615,95,1725,2314
24-07-2011,1624,94,1725,2320
25-07-2011,1637,93,1722,2320
26-07-2011,1651,92,1722,2320
27-07-2011,1682,92,1722,2351
28-07-2011,1709,92,1735,2389
29-07-2011,1737,92,1735,2403
30-07-2011,1756,92,1733,2415
31-07-2011,1777,92,1732,2427
01-08-2011,1798,92,1732,2438
02-08-2011,1817,92,1732,2450
03-08-2011,1836,92,1732,2462
04-08-2011,1857,91,1732,2474
05-08-2011,1879,90,1730,2488
06-08-2011,1911,90,1741,2513
07-08-2011,1933,90,1741,2525
08-08-2011,1955,90,1738,2532
09-08-2011,1983,89,1743,2552
10-08-2011,2006,88,1741,2569
11-08-2011,2041,88,1751,2613
12-08-2011,2067,88,1751,2630
13-08-2011,2077,88,1751,2643
14-08-2011,2056,88,1751,2653
15-08-2011,2028,88,1751,2665
16-08-2011,2006,88,1751,2678
17-08-2011,1975,88,1749,2690
18-08-2011,1948,88,1748,2735
